month,channel,spend
2025-07,Affiliate,29988.94
2025-07,Google Ads,86929.96
2025-07,Influencer,233234.58
2025-07,Instagram Ads,71836.95
2025-07,Organic/Email,0.0
2025-08,Affiliate,28351.59
2025-08,Google Ads,44873.41
2025-08,Influencer,268222.63
2025-08,Instagram Ads,142063.04
2025-08,Organic/Email,0.0
2025-09,Affiliate,31228.66
2025-09,Google Ads,80982.95
2025-09,Influencer,241842.01
2025-09,Instagram Ads,104053.79
2025-09,Organic/Email,0.0
2025-10,Affiliate,37227.42
2025-10,Google Ads,97302.17
2025-10,Influencer,215542.45
2025-10,Instagram Ads,95792.33
2025-10,Organic/Email,0.0
2025-11,Affiliate,53991.16
2025-11,Google Ads,152187.07
2025-11,Influencer,379372.06
2025-11,Instagram Ads,262407.96
2025-11,Organic/Email,0.0
2025-12,Affiliate,28008.42
2025-12,Google Ads,114532.53
2025-12,Influencer,293164.32
2025-12,Instagram Ads,114062.08
2025-12,Organic/Email,0.0
2026-01,Affiliate,33328.62
2026-01,Google Ads,101507.44
2026-01,Influencer,296697.48
2026-01,Instagram Ads,137539.35
2026-01,Organic/Email,0.0
2026-02,Affiliate,27682.65
2026-02,Google Ads,62305.17
2026-02,Influencer,197887.96
2026-02,Instagram Ads,163703.25
2026-02,Organic/Email,0.0
2026-03,Affiliate,45645.9
2026-03,Google Ads,77653.82
2026-03,Influencer,218606.83
2026-03,Instagram Ads,144505.19
2026-03,Organic/Email,0.0
2026-04,Affiliate,35775.69
2026-04,Google Ads,117857.53
2026-04,Influencer,179221.54
2026-04,Instagram Ads,61138.1
2026-04,Organic/Email,0.0
2026-05,Affiliate,46040.36
2026-05,Google Ads,96687.55
2026-05,Influencer,330242.94
2026-05,Instagram Ads,195536.04
2026-05,Organic/Email,0.0
2026-06,Affiliate,55139.8
2026-06,Google Ads,176564.07
2026-06,Influencer,554988.11
2026-06,Instagram Ads,263878.34
2026-06,Organic/Email,0.0
