month,expense_category,amount
2025-07,Professional & Misc,53896.25
2025-07,Rent & Utilities,150964.43
2025-07,Salaries & Team,484713.79
2025-07,Software & Tools,63735.73
2025-07,Warehousing & Ops,116711.1
2025-08,Professional & Misc,37731.96
2025-08,Rent & Utilities,147068.85
2025-08,Salaries & Team,480550.99
2025-08,Software & Tools,62711.46
2025-08,Warehousing & Ops,116858.6
2025-09,Professional & Misc,44370.52
2025-09,Rent & Utilities,151267.74
2025-09,Salaries & Team,496369.35
2025-09,Software & Tools,63482.93
2025-09,Warehousing & Ops,107162.59
2025-10,Professional & Misc,43295.69
2025-10,Rent & Utilities,154445.82
2025-10,Salaries & Team,510773.49
2025-10,Software & Tools,64780.31
2025-10,Warehousing & Ops,118255.74
2025-11,Professional & Misc,46439.07
2025-11,Rent & Utilities,159363.89
2025-11,Salaries & Team,507448.14
2025-11,Software & Tools,67603.09
2025-11,Warehousing & Ops,113838.14
2025-12,Professional & Misc,45419.42
2025-12,Rent & Utilities,155091.63
2025-12,Salaries & Team,502590.21
2025-12,Software & Tools,62760.11
2025-12,Warehousing & Ops,114763.61
2026-01,Professional & Misc,39310.06
2026-01,Rent & Utilities,158028.57
2026-01,Salaries & Team,493420.31
2026-01,Software & Tools,73195.38
2026-01,Warehousing & Ops,109860.42
2026-02,Professional & Misc,44466.54
2026-02,Rent & Utilities,160356.4
2026-02,Salaries & Team,519691.99
2026-02,Software & Tools,67239.97
2026-02,Warehousing & Ops,119976.72
2026-03,Professional & Misc,40759.02
2026-03,Rent & Utilities,163669.86
2026-03,Salaries & Team,546972.31
2026-03,Software & Tools,64442.93
2026-03,Warehousing & Ops,122113.55
2026-04,Professional & Misc,62015.69
2026-04,Rent & Utilities,162676.68
2026-04,Salaries & Team,545526.02
2026-04,Software & Tools,70341.47
2026-04,Warehousing & Ops,130728.61
2026-05,Professional & Misc,47034.15
2026-05,Rent & Utilities,162807.19
2026-05,Salaries & Team,542870.59
2026-05,Software & Tools,70271.88
2026-05,Warehousing & Ops,131739.52
2026-06,Professional & Misc,43680.38
2026-06,Rent & Utilities,168898.08
2026-06,Salaries & Team,568163.3
2026-06,Software & Tools,68721.83
2026-06,Warehousing & Ops,128053.9
