order_id,order_line_id,order_date,customer_id,sku_id,category,size,quantity,unit_price,unit_cogs,shipping_cost,payment_gateway_fee,marketing_channel,is_return,return_date
ORD-000001,ORD-000001-1,2025-07-01,CUST-00001,BOT-025,Bottoms,M,1,1859.0,754.26,49.15,41.04,Organic/Email,True,2025-07-10
ORD-000015,ORD-000015-1,2025-07-01,CUST-00014,ACC-009,Accessories,One Size,1,1119.0,390.44,62.3,25.5,Affiliate,False,
ORD-000016,ORD-000016-1,2025-07-01,CUST-00015,TOP-023,Tops,M,1,879.0,300.27,77.87,20.46,Instagram Ads,False,
ORD-000017,ORD-000017-1,2025-07-01,CUST-00007,OUT-007,Outerwear,M,1,2649.0,1026.21,72.83,57.63,Organic/Email,False,
ORD-000018,ORD-000018-1,2025-07-01,CUST-00016,FOO-016,Footwear,11,2,3639.0,1557.89,91.71,154.84,Influencer,False,
ORD-000019,ORD-000019-1,2025-07-01,CUST-00017,TOP-011,Tops,S,1,1459.0,515.92,73.2,32.64,Instagram Ads,False,
ORD-000020,ORD-000020-1,2025-07-01,CUST-00018,TOP-008,Tops,XL,1,1469.0,600.37,44.13,32.85,Affiliate,True,2025-07-13
ORD-000021,ORD-000021-1,2025-07-01,CUST-00019,TOP-031,Tops,S,1,729.0,279.86,64.36,17.31,Instagram Ads,False,
ORD-000014,ORD-000014-1,2025-07-01,CUST-00013,FOO-007,Footwear,9,1,2309.0,1013.74,52.03,50.49,Affiliate,False,
ORD-000021,ORD-000021-2,2025-07-01,CUST-00019,DRE-024,Dresses,XL,2,1919.0,637.86,76.62,82.6,Instagram Ads,False,
ORD-000022,ORD-000022-1,2025-07-01,CUST-00020,OUT-018,Outerwear,XL,1,1829.0,753.95,55.69,40.41,Instagram Ads,False,
ORD-000022,ORD-000022-2,2025-07-01,CUST-00020,FOO-009,Footwear,6,1,2439.0,1066.57,49.37,53.22,Instagram Ads,False,
ORD-000023,ORD-000023-1,2025-07-01,CUST-00021,FOO-017,Footwear,9,2,1319.0,659.01,54.7,57.4,Influencer,False,
ORD-000024,ORD-000024-1,2025-07-01,CUST-00022,OUT-017,Outerwear,L,1,4809.0,1805.41,59.55,102.99,Organic/Email,False,
ORD-000025,ORD-000025-1,2025-07-01,CUST-00023,BOT-004,Bottoms,L,1,1483.89,653.38,66.56,33.16,Instagram Ads,True,2025-07-13
ORD-000026,ORD-000026-1,2025-07-01,CUST-00024,FOO-013,Footwear,6,1,3479.0,1492.72,72.86,75.06,Google Ads,True,2025-07-08
ORD-000027,ORD-000027-1,2025-07-01,CUST-00025,TOP-002,Tops,L,1,1169.0,384.14,79.24,26.55,Google Ads,True,2025-07-15
ORD-000021,ORD-000021-3,2025-07-01,CUST-00019,OUT-013,Outerwear,XL,1,4509.0,1638.63,82.3,96.69,Instagram Ads,True,2025-07-15
ORD-000013,ORD-000013-3,2025-07-01,CUST-00012,OUT-002,Outerwear,L,1,4229.0,1535.78,71.06,90.81,Organic/Email,False,
ORD-000020,ORD-000020-2,2025-07-01,CUST-00018,OUT-004,Outerwear,M,1,2849.0,1178.46,64.6,61.83,Affiliate,False,
ORD-000013,ORD-000013-1,2025-07-01,CUST-00012,TOP-026,Tops,M,1,1259.0,487.4,77.73,28.44,Organic/Email,False,
ORD-000013,ORD-000013-2,2025-07-01,CUST-00012,TOP-018,Tops,XL,1,961.34,441.41,78.97,22.19,Organic/Email,True,2025-07-12
ORD-000002,ORD-000002-2,2025-07-01,CUST-00002,BOT-026,Bottoms,M,2,839.0,348.62,68.64,37.24,Influencer,False,
ORD-000003,ORD-000003-1,2025-07-01,CUST-00003,ACC-011,Accessories,One Size,1,1349.0,432.78,53.23,30.33,Organic/Email,True,2025-07-07
ORD-000004,ORD-000004-1,2025-07-01,CUST-00004,BOT-018,Bottoms,XL,1,759.0,298.64,70.45,17.94,Instagram Ads,False,
ORD-000005,ORD-000005-1,2025-07-01,CUST-00005,DRE-023,Dresses,M,1,1039.0,372.69,67.73,23.82,Google Ads,False,
ORD-000005,ORD-000005-2,2025-07-01,CUST-00005,OUT-002,Outerwear,M,1,4229.0,1535.78,76.08,90.81,Google Ads,False,
ORD-000006,ORD-000006-1,2025-07-01,CUST-00006,TOP-015,Tops,S,1,1309.0,526.42,60.71,29.49,Organic/Email,False,
ORD-000007,ORD-000007-1,2025-07-01,CUST-00007,OUT-013,Outerwear,S,1,4509.0,1638.63,57.63,96.69,Google Ads,True,2025-07-15
ORD-000002,ORD-000002-1,2025-07-01,CUST-00002,OUT-008,Outerwear,XS,1,2539.0,1129.15,73.12,55.32,Influencer,False,
ORD-000008,ORD-000008-2,2025-07-01,CUST-00008,DRE-007,Dresses,M,1,2619.0,1037.34,66.27,57.0,Influencer,False,
ORD-000009,ORD-000009-1,2025-07-01,CUST-00009,BOT-004,Bottoms,L,2,1639.0,653.38,72.53,70.84,Google Ads,False,
ORD-000010,ORD-000010-1,2025-07-01,CUST-00010,BOT-001,Bottoms,M,2,1379.0,498.09,84.55,59.92,Instagram Ads,False,
ORD-000011,ORD-000011-1,2025-07-01,CUST-00011,BOT-004,Bottoms,XS,1,1639.0,653.38,66.39,36.42,Instagram Ads,False,
ORD-000012,ORD-000012-1,2025-07-01,CUST-00003,DRE-024,Dresses,M,1,1919.0,637.86,66.35,42.3,Affiliate,False,
