order_date,sku,quantity,revenue,cost,channel
2025-10-19,KIT-AMA-01,3,16784.03,6472.72,Amazon
2025-10-14,KIT-AMA-04,1,21620.18,8264.31,Amazon
2025-10-02,KIT-AMA-01,1,16769.12,6926.7,Amazon
2025-10-02,KIT-AMA-04,3,21838.2,9120.64,Amazon
2025-10-05,KIT-AMA-03,1,16652.06,6374.32,Amazon
2025-10-04,KIT-AMA-03,2,21858.51,8495.43,Amazon
2025-10-19,KIT-ORG-02,3,25964.14,10147.92,Organic/Email
2025-10-19,KIT-ORG-01,3,24526.84,10368.15,Organic/Email
2025-10-14,KIT-ORG-03,2,26413.65,11115.5,Organic/Email
2025-10-08,KIT-ORG-02,2,25239.94,10138.76,Organic/Email
2025-10-10,KIT-ORG-04,1,27025.61,10402.46,Organic/Email
2025-10-10,KIT-ORG-01,2,23848.51,10106.2,Organic/Email
2025-11-22,KIT-AMA-01,2,17569.86,7121.1,Amazon
2025-11-27,KIT-AMA-03,3,21175.19,9049.13,Amazon
2025-11-19,KIT-AMA-04,2,18677.13,7763.38,Amazon
2025-11-16,KIT-AMA-01,1,17080.07,7458.54,Amazon
2025-11-19,KIT-AMA-04,3,17032.43,6788.73,Amazon
2025-11-22,KIT-AMA-03,2,26173.8,11071.46,Amazon
2025-11-20,KIT-ORG-01,2,22153.59,8890.85,Organic/Email
2025-11-05,KIT-ORG-02,1,25808.21,10996.72,Organic/Email
2025-11-15,KIT-ORG-04,2,25065.11,9645.93,Organic/Email
2025-11-18,KIT-ORG-03,1,26240.65,11261.35,Organic/Email
2025-11-13,KIT-ORG-02,2,27458.19,11558.89,Organic/Email
2025-11-05,KIT-ORG-02,1,28417.07,10939.98,Organic/Email
2025-12-14,KIT-AMA-03,2,17707.05,6733.03,Amazon
2025-12-23,KIT-AMA-01,2,20217.01,8838.59,Amazon
2025-12-13,KIT-AMA-04,3,19317.66,8265.49,Amazon
2025-12-13,KIT-AMA-01,1,18979.07,7760.38,Amazon
2025-12-04,KIT-AMA-03,1,17755.59,7216.54,Amazon
2025-12-01,KIT-AMA-02,3,23457.0,8987.66,Amazon
2025-12-03,KIT-ORG-02,2,26390.41,11000.16,Organic/Email
2025-12-12,KIT-ORG-03,1,26996.93,11286.46,Organic/Email
2025-12-15,KIT-ORG-04,1,25901.22,11161.77,Organic/Email
2025-12-24,KIT-ORG-03,1,25977.05,10095.9,Organic/Email
2025-12-06,KIT-ORG-01,2,27985.86,12026.4,Organic/Email
2025-12-17,KIT-ORG-03,1,23370.4,10214.25,Organic/Email
2026-01-23,KIT-AMA-03,3,20257.04,8746.98,Amazon
2026-01-08,KIT-AMA-03,1,20198.51,8106.51,Amazon
2026-01-25,KIT-AMA-02,3,20909.89,8963.87,Amazon
2026-01-08,KIT-AMA-02,2,21932.17,9307.85,Amazon
2026-01-01,KIT-AMA-03,2,20193.94,8559.41,Amazon
2026-01-23,KIT-AMA-03,2,17034.33,6737.94,Amazon
2026-01-12,KIT-ORG-01,3,23052.64,10126.62,Organic/Email
2026-01-11,KIT-ORG-02,1,21459.15,8759.73,Organic/Email
2026-01-16,KIT-ORG-03,3,23301.58,10029.61,Organic/Email
2026-01-04,KIT-ORG-04,1,25529.08,10979.52,Organic/Email
2026-01-06,KIT-ORG-04,1,25407.23,10383.48,Organic/Email
2026-01-26,KIT-ORG-04,3,21791.17,8715.4,Organic/Email
2026-02-19,KIT-AMA-04,1,19343.45,7382.48,Amazon
2026-02-20,KIT-AMA-04,1,23530.25,9804.92,Amazon
2026-02-18,KIT-AMA-02,2,22565.51,8785.99,Amazon
2026-02-17,KIT-AMA-02,3,18454.82,7732.21,Amazon
2026-02-07,KIT-AMA-01,1,21120.92,9072.9,Amazon
2026-02-17,KIT-AMA-02,2,24277.99,9535.59,Amazon
2026-02-14,KIT-ORG-02,2,25484.55,10080.72,Organic/Email
2026-02-15,KIT-ORG-04,3,20505.44,8227.34,Organic/Email
2026-02-05,KIT-ORG-01,3,25934.15,10058.45,Organic/Email
2026-02-25,KIT-ORG-02,1,26257.69,10936.68,Organic/Email
2026-02-04,KIT-ORG-01,2,21295.0,8883.13,Organic/Email
2026-02-17,KIT-ORG-04,2,22221.55,9353.94,Organic/Email
2026-03-04,KIT-AMA-04,2,18663.17,7139.26,Amazon
2026-03-20,KIT-AMA-02,1,20560.08,8359.62,Amazon
2026-03-26,KIT-AMA-04,2,21353.41,8765.35,Amazon
2026-03-09,KIT-AMA-02,1,20233.2,8537.46,Amazon
2026-03-13,KIT-AMA-04,1,22245.25,9009.29,Amazon
2026-03-08,KIT-AMA-04,2,18062.42,6942.34,Amazon
2026-03-04,KIT-ORG-02,3,21973.65,8749.18,Organic/Email
2026-03-05,KIT-ORG-03,3,28523.77,11969.01,Organic/Email
2026-03-04,KIT-ORG-04,2,28095.32,11046.39,Organic/Email
2026-03-27,KIT-ORG-02,1,28111.19,12351.84,Organic/Email
2026-03-13,KIT-ORG-03,2,22641.57,9954.24,Organic/Email
2026-03-11,KIT-ORG-01,2,21860.42,8563.7,Organic/Email
