order_date,sku,quantity,revenue,cost
2024-01-08,APPAREL-TSHIRT-01,1,799,386.57
2024-01-22,APPAREL-DRESS-02,1,1899,917.42
2024-01-01,APPAREL-TSHIRT-01,3,2397,1052.45
2024-01-20,APPAREL-TSHIRT-01,1,799,329.65
2024-01-21,APPAREL-TSHIRT-01,3,2397,977.59
2024-01-09,APPAREL-SCARF-04,1,499,221.0
2024-01-11,APPAREL-TSHIRT-01,1,799,381.71
2024-01-25,APPAREL-JACKET-03,1,2999,1230.02
2024-01-04,APPAREL-JACKET-03,1,2999,1178.56
2024-01-26,APPAREL-JACKET-03,2,5998,2786.2
2024-01-04,APPAREL-TSHIRT-01,3,2397,1065.03
2024-01-27,APPAREL-SCARF-04,1,499,228.19
2024-01-03,APPAREL-JACKET-03,3,8997,3661.06
2024-02-08,APPAREL-DRESS-02,2,3798,1967.1
2024-02-21,APPAREL-TSHIRT-01,2,1598,669.43
2024-02-07,APPAREL-JACKET-03,1,2999,1295.04
2024-02-21,APPAREL-JACKET-03,3,8997,4598.65
2024-02-18,APPAREL-TSHIRT-01,3,2397,1123.95
2024-02-09,APPAREL-DRESS-02,1,1899,844.52
2024-02-25,APPAREL-DRESS-02,3,5697,2423.5
2024-02-26,APPAREL-TSHIRT-01,1,799,395.55
2024-03-19,APPAREL-SCARF-04,2,998,388.49
2024-03-13,APPAREL-JACKET-03,1,2999,1414.81
2024-03-08,APPAREL-SCARF-04,1,499,208.12
2024-03-19,APPAREL-JACKET-03,3,8997,4155.19
2024-03-05,APPAREL-SCARF-04,2,998,409.88
2024-03-04,APPAREL-SCARF-04,1,499,242.42
2024-03-22,APPAREL-DRESS-02,3,5697,2292.46
2024-03-13,APPAREL-SCARF-04,3,1497,582.17
2024-03-18,APPAREL-SCARF-04,3,1497,621.55
2024-03-22,APPAREL-TSHIRT-01,3,2397,1152.72
2024-04-10,APPAREL-JACKET-03,3,8997,3847.34
2024-04-24,APPAREL-SCARF-04,1,499,221.32
2024-04-17,APPAREL-JACKET-03,3,8997,4378.61
2024-04-21,APPAREL-TSHIRT-01,3,2397,1011.01
2024-04-06,APPAREL-DRESS-02,1,1899,821.03
2024-04-01,APPAREL-TSHIRT-01,3,2397,1019.64
2024-04-27,APPAREL-TSHIRT-01,2,1598,803.83
2024-04-19,APPAREL-JACKET-03,1,2999,1163.94
2024-04-27,APPAREL-TSHIRT-01,1,799,385.49
2024-04-05,APPAREL-TSHIRT-01,3,2397,1167.86
2024-04-17,APPAREL-SCARF-04,3,1497,603.47
2024-04-25,APPAREL-SCARF-04,1,499,254.51
2024-05-22,APPAREL-DRESS-02,3,5697,2413.48
2024-05-15,APPAREL-JACKET-03,2,5998,3034.66
2024-05-11,APPAREL-TSHIRT-01,1,799,328.75
2024-05-19,APPAREL-TSHIRT-01,3,2397,1096.74
2024-05-21,APPAREL-DRESS-02,1,1899,740.49
