txn_date,product_code,product_group,units_sold,line_revenue,line_cost
2025-10-01,KIT-JEWELRY-02,Jewelry Kits,1,849,254.82
2025-10-01,KIT-POTTERY-01,Pottery Kits,1,1699,745.62
2025-10-01,KIT-CANDLE-01,Candle Kits,1,899,346.57
2025-10-01,KIT-POTTERY-01,Pottery Kits,1,1699,686.42
2025-10-02,KIT-JEWELRY-01,Jewelry Kits,1,599,190.21
2025-10-03,KIT-MACRAME-01,Macrame Kits,2,1498,518.74
2025-10-03,KIT-SOAP-01,Soap Kits,1,649,211.87
2025-10-04,KIT-MACRAME-01,Macrame Kits,1,749,245.94
2025-10-04,KIT-MACRAME-01,Macrame Kits,1,749,243.16
2025-10-05,KIT-JEWELRY-01,Jewelry Kits,1,599,186.25
2025-10-05,KIT-POTTERY-02,Pottery Kits,1,2099,944.63
2025-10-05,KIT-CANDLE-01,Candle Kits,1,899,327.35
2025-10-05,KIT-CANDLE-02,Candle Kits,1,1199,385.13
2025-10-06,KIT-CANDLE-02,Candle Kits,2,2398,893.33
2025-10-06,KIT-CANDLE-01,Candle Kits,1,899,355.26
2025-10-06,KIT-CANDLE-01,Candle Kits,1,899,305.02
2025-10-07,KIT-CANDLE-01,Candle Kits,2,1798,608.57
2025-10-08,KIT-SOAP-02,Soap Kits,1,799,278.34
2025-10-10,KIT-SOAP-01,Soap Kits,1,649,230.7
2025-10-10,KIT-RESIN-01,Resin Art Kits,2,2998,1346.05
2025-10-10,KIT-POTTERY-02,Pottery Kits,2,4198,2039.41
2025-10-10,KIT-MACRAME-01,Macrame Kits,2,1498,471.72
2025-10-12,KIT-SOAP-01,Soap Kits,2,1298,434.56
2025-10-12,KIT-SOAP-01,Soap Kits,1,649,209.14
2025-10-12,KIT-RESIN-02,Resin Art Kits,1,1899,2118.25
2025-10-13,KIT-JEWELRY-01,Jewelry Kits,1,599,165.79
2025-10-14,KIT-RESIN-02,Resin Art Kits,3,5697,6399.59
2025-10-15,KIT-SOAP-01,Soap Kits,2,1298,388.52
2025-10-15,KIT-MACRAME-02,Macrame Kits,1,999,332.3
2025-10-16,KIT-MACRAME-01,Macrame Kits,1,749,225.19
2025-10-17,KIT-CANDLE-02,Candle Kits,2,2398,865.34
2025-10-17,KIT-CANDLE-01,Candle Kits,1,899,295.69
2025-10-18,KIT-CANDLE-01,Candle Kits,2,1798,658.9
2025-10-18,KIT-POTTERY-01,Pottery Kits,2,3398,1527.12
