month,revenue,units
2024-01,200136.77,200.2
2024-02,177959.61,186.8
2024-03,205766.41,197.3
2024-04,212898.55,221.1
2024-05,217196.67,214.6
2024-06,224314.49,224.1
2024-07,224007.27,229.2
2024-08,222797.85,216.6
2024-09,231759.78,231.5
2024-10,230792.6,229.7
2024-11,336659.4,346.9
2024-12,383484.06,384.1
2025-01,232705.55,230.6
2025-02,206379.1,200.3
2025-03,241567.53,250.9
2025-04,257031.11,262.9
2025-05,252192.79,242.6
2025-06,263222.45,272.8
2025-07,265864.95,274.0
2025-08,265396.92,273.1
2025-09,271877.31,280.3
2025-10,279510.51,280.4
2025-11,397984.66,390.3
2025-12,439072.18,461.4
