origin_id,destination_id,km
LOC001,LOC002,172.8
LOC001,LOC003,101.8
LOC001,LOC004,306.9
LOC001,LOC005,69.7
LOC001,LOC006,259.7
LOC001,LOC007,189.9
LOC001,LOC008,63.8
LOC001,LOC009,248.0
LOC001,LOC010,55.4
LOC002,LOC001,172.8
LOC002,LOC003,217.8
LOC002,LOC004,68.6
LOC002,LOC005,77.2
LOC002,LOC006,214.1
LOC002,LOC007,379.0
LOC002,LOC008,90.8
LOC002,LOC009,131.5
LOC002,LOC010,297.2
LOC003,LOC001,101.8
LOC003,LOC002,217.8
LOC003,LOC004,428.6
LOC003,LOC005,276.6
LOC003,LOC006,202.6
LOC003,LOC007,440.3
LOC003,LOC008,59.1
LOC003,LOC009,392.0
LOC003,LOC010,158.7
LOC004,LOC001,306.9
LOC004,LOC002,68.6
LOC004,LOC003,428.6
LOC004,LOC005,99.1
LOC004,LOC006,88.3
LOC004,LOC007,166.5
LOC004,LOC008,374.6
LOC004,LOC009,114.1
LOC004,LOC010,278.5
LOC005,LOC001,69.7
LOC005,LOC002,77.2
LOC005,LOC003,276.6
LOC005,LOC004,99.1
LOC005,LOC006,302.0
LOC005,LOC007,192.7
LOC005,LOC008,264.6
LOC005,LOC009,65.7
LOC005,LOC010,64.4
LOC006,LOC001,259.7
LOC006,LOC002,214.1
LOC006,LOC003,202.6
LOC006,LOC004,88.3
LOC006,LOC005,302.0
LOC006,LOC007,124.4
LOC006,LOC008,319.0
LOC006,LOC009,215.3
LOC006,LOC010,168.8
LOC007,LOC001,189.9
LOC007,LOC002,379.0
LOC007,LOC003,440.3
LOC007,LOC004,166.5
LOC007,LOC005,192.7
LOC007,LOC006,124.4
LOC007,LOC008,280.1
LOC007,LOC009,225.8
LOC007,LOC010,162.9
LOC008,LOC001,63.8
LOC008,LOC002,90.8
LOC008,LOC003,59.1
LOC008,LOC004,374.6
LOC008,LOC005,264.6
LOC008,LOC006,319.0
LOC008,LOC007,280.1
LOC008,LOC009,365.7
LOC008,LOC010,326.6
LOC009,LOC001,248.0
LOC009,LOC002,131.5
LOC009,LOC003,392.0
LOC009,LOC004,114.1
LOC009,LOC005,65.7
LOC009,LOC006,215.3
LOC009,LOC007,225.8
LOC009,LOC008,365.7
LOC009,LOC010,140.1
LOC010,LOC001,55.4
LOC010,LOC002,297.2
LOC010,LOC003,158.7
LOC010,LOC004,278.5
LOC010,LOC005,64.4
LOC010,LOC006,168.8
LOC010,LOC007,162.9
LOC010,LOC008,326.6
LOC010,LOC009,140.1
