txn_id,txn_date,txn_type,customer_id,customer_segment,origin_id,destination_id,vendor_id,line_item,quantity,uom,revenue,direct_cost,cost_category,invoice_id,payment_date
TXN0002380,16-Mar-2025,sale,CUST0031,mid_market,LOC004,LOC006,VEND003,storage_fee,10.74,,427.46,194.41,labor,INV0000793,20/05/2025
TXN0008743,12/06/2025,sale,CUST0016,,LOC001,LOC012,,tanker_transport,14.02,litres,231.03,177.67,labor,INV0002914,
TXN0014094,12-Jan-2024,sale,CUST0026,smb,LOC011,LOC012,VEND008,handling_fee,14.98,cartons,91.06,,,INV0004698,15-Jan-2024
TXN0002859,2025-07-28,sale,CUST0012,smb,LOC004,LOC006,,freight_charge,13.77,trips,319.66,134.89,tolls,INV0000953,2025-10-13
TXN0017945,2024-06-23,cancelled,cust0036,enterprise,LOC005,LOC003,,fuel_surcharge,12.48,trips,468.04,371.88,tolls,INV0005981,2024-09-17
TXN0008138,2024-09-17,sale,CUST0010,,LOC010,LOC006,VEND010,tanker_transport,11.23,litres,479.09,271.15,packaging,INV0002712,
TXN0005248,12-Jun-2024,sale,CUST0003,enterprise,LOC002,LOC004,VEND015,handling_fee,16.3,cartons,406.06,316.18,tolls,INV0001749,2024-09-02
TXN0001337,2024-01-18,sale,CUST0012,mid_market,LOC011,LOC012,VEND002,freight_charge,4.8,trips,192.29,83.53,packaging,INV0000445,02/04/2024
TXN0001290,05/07/2025,sale,CUST0040,,LOC004,LOC006,VEND010,storage_fee,18.41,,459.1,246.9,fuel,INV0000430,13-Jul-2025
TXN0001006,05/07/2024,sale,CUST0027,mid_market,LOC011,LOC002,,handling_fee,11.32,cartons,542.27,302.61,packaging,INV0000335,15/09/2024
TXN0019754,13-Aug-2024,sale,CUST0026,,LOC011,LOC002,,documentation_fee,2.17,,87.22,55.13,fuel,INV0006584,14-Aug-2024
TXN0002247,01/14/2025,sale,CUST0019,smb,LOC001,LOC012,,storage_fee,13.96,,595.11,459.0,tolls,INV0000749,12-Mar-2025
TXN0010881,2024-01-27,sale,CUST0002,mid_market,LOC012,LOC011,,storage_fee,6.49,,246.38,158.18,tolls,INV0003627,03/15/2024
TXN0016024,21/02/2024,sale, CUST0033,mid_market,LOC007,LOC006,,storage_fee,10.23,,352.86,254.07,tolls,INV0005341,28-Feb-2024
TXN0008233,24/08/2025,sale,CUST0019,,LOC002,LOC007,,bulk_transport,3.4,tonnes,97.21,51.4,maintenance,INV0002744,10/11/2025
TXN0001642,18-Apr-2024,sale,CUST0012 ,smb,LOC009,LOC002,,bulk_transport,10.01,tonnes,173.18,69.47,packaging,INV0000547,2024-05-26
TXN0000447,01/16/2025,sale,CUST0003,enterprise,LOC002,LOC004,,fuel_surcharge,15.15,trips,453.63,294.29,packaging,INV0000149,2025-03-11
TXN0019811,05/08/2024,credit_note,CUST0020,smb,LOC005,LOC004,,storage_fee,4.29,,168.26,103.2,tolls,INV0006603,2024-09-14
TXN0001580,14/01/2025,sale,CUST0027,enterprise,LOC011,LOC002,VEND002,handling_fee,8.25,cartons,402.6,274.38,packaging,INV0000526,08-Feb-2025
TXN0011121,2024-09-07,sale,CUST0031,mid_market,LOC005,LOC004,VEND008,freight_charge,14.65,trips,698.74,,,INV0003707,12/10/2024
TXN0003974,11/02/2024,sale,CUST0029,,LOC004,LOC006,VEND002,fuel_surcharge,12.12,trips,446.34,356.31,labor,INV0001324,18/11/2024
TXN0014845,06/09/2024,sale,CUST0020,,LOC005,LOC011,,fuel_surcharge,2.11,trips,48.53,30.3,tolls,INV0004948,06-Nov-2024
TXN0016105,26/03/2024,sale,CUST0013,mid_market,LOC011,LOC012,VEND015,tanker_transport,12.68,,306.16,143.83,labor,INV0005368,04/20/2024
TXN0005000,2025-08-06,sale,CUST0029,smb,LOC005,LOC001,VEND012,handling_fee,13.28,cartons,363.5,184.72,tolls,INV0001666,08/06/2025
TXN0013847,03-Apr-2025,sale,CUST0008,mid_market,LOC004,LOC009,,fuel_surcharge,12.31,trips,468.69,322.39,maintenance,INV0004615,09-Apr-2025
TXN0017352,13-Jul-2024,sale,CUST0040,enterprise,LOC005,LOC011,,tanker_transport,9.18,litres,329.04,146.69,fuel,INV0005784,09/20/2024
TXN0019520,17/11/2024,sale,CUST0035,mid_market,LOC007,LOC004,,handling_fee,14.25,cartons,657.71,465.6,maintenance,INV0006506,07/12/2024
TXN0001606,04/19/2024,sale,CUST0034,mid_market,LOC001,LOC012,VEND012,bulk_transport,11.61,tonnes,279.37,139.33,packaging,INV0000535,
TXN0005216,2025-02-05,sale,CUST0033,enterprise,LOC010,LOC001,VEND015,bulk_transport,15.21,tonnes,273.92,212.79,labor,INV0001738,26/03/2025
TXN0015505,10/09/2024,sale,CUST0035,smb,LOC005,LOC003,,tanker_transport,0.97,litres,38.76,29.93,maintenance,INV0005168,2024-11-08
TXN0000828,11-Jul-2024,sale,CUST0016,,LOC010,LOC004,VEND010,documentation_fee,15.7,,659.08,305.18,labor,INV0000276,07/20/2024
TXN0000856,05/13/2025,sale,cust0038,enterprise,LOC010,LOC004,,bulk_transport,10.72,tonnes,70.53,56.17,labor,INV0000285,22-Jul-2025
TXN0003274,02/17/2025,sale,CUST0033,,LOC004,LOC009,,bulk_transport,17.83,tonnes,305.68,144.88,fuel,INV0001091,25-Feb-2025
TXN0005980,17/10/2024,sale, CUST0026,mid_market,LOC007,LOC006,VEND009,documentation_fee,4.96,,74.63,44.28,packaging,INV0001993,12/02/2024
TXN0015443,22-May-2024,sale,cust0040,mid_market,LOC011,LOC012,,bulk_transport,13.56,tonnes,487.28,273.16,labor,INV0005147,02-Jul-2024
TXN0004197,12-Apr-2025,sale,CUST0001,mid_market,LOC001,LOC012,VEND013,documentation_fee,13.61,,538.66,378.01,maintenance,INV0001399,20-May-2025
TXN0003846,01-Mar-2025,sale,CUST0033,,LOC007,LOC002,,bulk_transport,6.53,tonnes,155.08,123.83,maintenance,INV0001282,16-Mar-2025
