period_month,cost_category,amount,description
2024-01-01,driver_salaries,36308.41,
2024-01-01,emi,15588.67,
2024-01-01,rent,7430.29,
2024-01-01,office,3970.03,
2024-02-01,driver_salaries,41373.17,
2024-02-01,emi,15878.85,
2024-02-01,rent,7925.1,
2024-02-01,office,3998.62,
2024-03-01,driver_salaries,36153.26,
2024-03-01,emi,14797.17,
2024-03-01,rent,7795.8,
2024-03-01,office,4281.83,
2024-04-01,driver_salaries,40375.87,
2024-04-01,emi,15765.95,
2024-04-01,rent,7894.51,
2024-04-01,office,3740.95,
2024-05-01,driver_salaries,42807.0,
2024-05-01,emi,15960.66,
2024-05-01,rent,7801.37,
2024-05-01,office,3676.59,
2024-06-01,driver_salaries,40099.44,
2024-06-01,emi,14987.93,
2024-06-01,rent,8435.68,
2024-06-01,office,4077.77,
2024-07-01,driver_salaries,40053.41,
2024-07-01,emi,15225.48,
2024-07-01,rent,7803.08,
2024-07-01,office,3639.14,
2024-08-01,driver_salaries,36489.69,
2024-08-01,emi,16325.71,
2024-08-01,rent,8542.56,
2024-08-01,office,3836.93,
2024-09-01,driver_salaries,43110.02,
2024-09-01,emi,15066.76,
2024-09-01,rent,7364.87,
2024-09-01,office,4284.55,
2024-10-01,driver_salaries,40675.02,
2024-10-01,emi,16298.36,
2024-10-01,rent,8286.8,
2024-10-01,office,3675.28,
2024-11-01,driver_salaries,40981.98,
2024-11-01,emi,15860.66,
2024-11-01,rent,8638.26,
2024-11-01,office,3865.02,
2024-12-01,driver_salaries,40231.13,
2024-12-01,emi,15603.47,
2024-12-01,rent,7466.91,
2024-12-01,office,4278.69,
2025-01-01,driver_salaries,42246.92,
2025-01-01,emi,13650.29,
2025-01-01,rent,8146.25,
2025-01-01,office,3894.44,
2025-02-01,driver_salaries,37488.06,
2025-02-01,emi,15313.44,
2025-02-01,rent,8750.68,
2025-02-01,office,4041.58,
2025-03-01,driver_salaries,36906.41,
2025-03-01,emi,14984.78,
2025-03-01,rent,8446.61,
2025-03-01,office,4364.18,
2025-04-01,driver_salaries,41721.42,
2025-04-01,emi,13624.03,
2025-04-01,rent,8746.49,
2025-04-01,office,4081.49,
2025-05-01,driver_salaries,36669.18,
2025-05-01,emi,13881.47,
2025-05-01,rent,7337.96,
2025-05-01,office,4131.84,
2025-06-01,driver_salaries,37232.84,
2025-06-01,emi,15922.41,
2025-06-01,rent,7374.31,
2025-06-01,office,4028.15,
2025-07-01,driver_salaries,39544.61,
2025-07-01,emi,13613.92,
2025-07-01,rent,7204.03,
2025-07-01,office,4322.82,
2025-08-01,driver_salaries,43812.86,
2025-08-01,emi,13872.96,
2025-08-01,rent,8375.35,
2025-08-01,office,4391.35,
