txn_id,date,vehicle_id,origin_id,destination_id,revenue
TRIP0070,13/04/2024,VEH001,LOC009,LOC002,12510.46
TRIP0218,28-Jan-2024,VEH012,LOC008,LOC005,37464.69
TRIP0384,12/02/2024,veh006,LOC002,LOC007,18172.58
TRIP0033,03/21/2024,VEH010,LOC003,LOC007,17966.09
TRIP0042,05/03/2024,VEH003,LOC010,LOC004,29509.28
TRIP0077,2024-04-01,VEH004,LOC008,LOC003,28167.08
TRIP0137,01/25/2024,VEH011 ,LOC007,LOC010,21880.62
TRIP0331,12-Jan-2024,VEH005,LOC007,LOC001,12084.16
TRIP0365,2024-03-19,veh005,LOC001,LOC009,19651.29
TRIP0265,07-Jan-2024,VEH006,LOC004,LOC009,10793.61
TRIP0364,2024-01-14,VEH004 ,LOC008,LOC009,28025.21
TRIP0078,02/07/2024,VEH010,LOC004,LOC001,24496.13
TRIP0283,12-Feb-2024,VEH007,LOC009,LOC010,13728.57
TRIP0386,2024-03-17,VEH002,LOC005,LOC006,30121.61
TRIP0155,17-Mar-2024,VEH010,LOC006,LOC008,28528.4
TRIP0255,03/01/2024,VEH005,LOC009,LOC008,31110.5
TRIP0177,2024-01-24,VEH007,LOC001,LOC005,39733.14
TRIP0351,2024-04-10,VEH003,LOC006,LOC004,10995.2
TRIP0009,05-Feb-2024,veh006,LOC003,LOC004,20763.51
TRIP0195,04/15/2024,VEH007,LOC008,LOC002,11274.39
TRIP0055,01/03/2024,VEH004,LOC010,LOC009,32325.52
TRIP0399,09-Feb-2024,VEH001,LOC006,LOC002,20480.99
TRIP0253,03/27/2024,VEH011 ,LOC010,LOC001,13674.38
TRIP0232,03/18/2024,veh009,LOC010,LOC004,38818.12
TRIP0362,2024-04-05,VEH008,LOC002,LOC008,9098.62
TRIP0304,08-Mar-2024,VEH003,LOC007,LOC003,35015.03
TRIP0084,20/04/2024,VEH002,LOC004,LOC007,5794.92
TRIP0209,01/04/2024,VEH001,LOC008,LOC010,22721.55
TRIP0172,04-Jan-2024,VEH011,LOC007,LOC006,13958.78
TRIP0015,01/25/2024,VEH011,LOC002,LOC001,12953.36
TRIP0132,04/28/2024,VEH006,LOC009,LOC004,25337.14
TRIP0094,01/17/2024,VEH004,LOC006,LOC002,15552.92
TRIP0000,22-Mar-2024, VEH012,LOC002,LOC001,32088.46
TRIP0124,23-Mar-2024,VEH011,LOC009,LOC007,6456.5
TRIP0250,04-Mar-2024,VEH010,LOC008,LOC002,27817.59
TRIP0350,25-Mar-2024, VEH001,LOC004,LOC001,26565.8
TRIP0056,16-Mar-2024,VEH002,LOC004,LOC001,21062.05
TRIP0311,02/14/2024,VEH011,LOC010,LOC005,19591.13
TRIP0082,01/08/2024,VEH003,LOC009,LOC002,33490.71
TRIP0323,01/17/2024,VEH006,LOC002,LOC005,23740.22
TRIP0266,20/03/2024,VEH001,LOC008,LOC010,14965.2
TRIP0316,20-Feb-2024,VEH010,LOC005,LOC001,18281.24
TRIP0140,27/01/2024,VEH008,LOC007,LOC006,22033.04
TRIP0114,04/05/2024,VEH003 ,LOC003,LOC004,11187.05
TRIP0101,04-Feb-2024,VEH012,LOC005,LOC004,29489.75
TRIP0385,04/21/2024,VEH005,LOC007,LOC001,39532.1
TRIP0025,2024-02-04,veh010,LOC002,LOC004,11812.35
TRIP0367,04/18/2024,VEH011,LOC007,LOC010,28493.1
TRIP0173,27/03/2024,VEH008,LOC007,LOC003,37761.52
TRIP0126,15/01/2024,VEH010 ,LOC005,LOC003,16545.14
TRIP0145,2024-04-13,VEH001 ,LOC004,LOC003,14344.15
TRIP0022,18/02/2024,veh004,LOC005,LOC009,38974.43
TRIP0116,2024-01-23, VEH011,LOC006,LOC007,31548.18
TRIP0046,2024-01-31,VEH010,LOC001,LOC004,18561.74
TRIP0392,2024-03-18,VEH003,LOC005,LOC001,25589.03
TRIP0341,19/02/2024,VEH011,LOC008,LOC006,38560.81
TRIP0073,03/03/2024,VEH007,LOC008,LOC004,13187.88
TRIP0072,04/28/2024,VEH007,LOC004,LOC003,34869.11
TRIP0039,01/21/2024,VEH012,LOC008,LOC001,28443.49
TRIP0296,2024-03-21,VEH001,LOC008,LOC009,39284.97
TRIP0057,31/03/2024,VEH002 ,LOC001,LOC004,24905.94
TRIP0168,01-Jan-2024,VEH007,LOC006,LOC005,16099.86
TRIP0030,03/15/2024,VEH006,LOC007,LOC010,31066.68
TRIP0153,03/12/2024,VEH008,LOC004,LOC002,24391.27
TRIP0332,09-Mar-2024,VEH006,LOC002,LOC008,29317.93
TRIP0192,04/10/2024,VEH009,LOC001,LOC006,9296.53
TRIP0079,04/04/2024,VEH012,LOC009,LOC001,32436.44
TRIP0104,22-Mar-2024,VEH001,LOC007,LOC005,32256.28
TRIP0031,29/01/2024,VEH008,LOC003,LOC009,38862.84
TRIP0380,28-Mar-2024,VEH002,LOC008,LOC002,24354.76
TRIP0239,21/01/2024,VEH008,LOC001,LOC007,8820.04
TRIP0335,2024-01-04,veh006,LOC010,LOC009,26503.29
TRIP0076,02/06/2024,VEH011,LOC007,LOC009,15275.78
TRIP0180,2024-02-02,VEH001,LOC002,LOC008,36177.74
TRIP0141,26/02/2024,VEH009,LOC008,LOC004,22174.74
TRIP0005,18/03/2024,VEH004,LOC001,LOC009,39146.78
TRIP0045,2024-01-03,VEH005,LOC002,LOC006,33166.75
TRIP0090,20-Feb-2024,VEH008 ,LOC003,LOC005,10330.92
TRIP0249,21-Feb-2024,veh009,LOC005,LOC009,19905.87
TRIP0338,2024-02-22,VEH001,LOC002,LOC003,7957.26
TRIP0373,02/28/2024,VEH002,LOC009,LOC007,16005.4
TRIP0354,28-Jan-2024,veh003,LOC004,LOC006,21309.48
TRIP0234,2024-04-20,VEH005,LOC010,LOC007,37655.81
TRIP0003,03/16/2024,VEH001,LOC007,LOC001,29407.88
TRIP0018,28-Feb-2024,VEH006,LOC006,LOC003,33967.09
TRIP0131,06-Jan-2024,VEH009,LOC007,LOC001,37379.2
TRIP0118,10/04/2024,VEH001,LOC002,LOC007,20123.26
TRIP0327,26-Apr-2024,VEH012,LOC008,LOC005,23645.28
TRIP0063,13/01/2024,VEH006,LOC002,LOC007,31774.96
TRIP0317,04/20/2024,VEH005,LOC001,LOC008,29001.02
TRIP0211,03/29/2024,veh011,LOC004,LOC005,25339.08
TRIP0381,16-Apr-2024,VEH007,LOC002,LOC010,37764.9
TRIP0093,03/09/2024,VEH005,LOC004,LOC009,18335.74
TRIP0393,02/04/2024,VEH006,LOC005,LOC006,29013.37
TRIP0108,01/15/2024,VEH009,LOC002,LOC003,8373.68
TRIP0395,25-Mar-2024,veh003,LOC007,LOC002,20901.13
TRIP0223,01/06/2024,VEH005,LOC001,LOC009,38446.81
TRIP0181,05-Apr-2024, VEH006,LOC009,LOC001,36270.63
TRIP0247,2024-04-05,VEH008,LOC010,LOC005,19440.0
TRIP0377,15-Apr-2024,VEH007,LOC008,LOC007,20326.64
TRIP0302,2024-02-11,VEH006,LOC001,LOC005,23762.38
TRIP0219,03/16/2024,VEH002,LOC009,LOC005,18915.24
TRIP0075,01/01/2024,VEH008,LOC007,LOC005,14848.44
TRIP0110,2024-02-25,VEH005,LOC003,LOC001,20952.17
TRIP0113,09-Apr-2024,VEH010,LOC009,LOC007,25272.68
TRIP0016,2024-01-30,VEH004 ,LOC005,LOC002,24410.47
TRIP0066,03-Apr-2024,veh004,LOC006,LOC002,24572.25
TRIP0271,2024-03-11,VEH007,LOC001,LOC009,11112.45
TRIP0007,2024-02-27,VEH001,LOC010,LOC005,32512.25
TRIP0019,02/15/2024,VEH012,LOC004,LOC005,27108.25
TRIP0176,23/03/2024,VEH008,LOC007,LOC003,20228.4
TRIP0358,04/20/2024,VEH001,LOC001,LOC003,22225.36
TRIP0352,10-Apr-2024,VEH002,LOC010,LOC004,24773.27
TRIP0298,28/03/2024,VEH012,LOC005,LOC004,32281.71
TRIP0297,20/03/2024, VEH011,LOC002,LOC004,33070.91
TRIP0324,05/04/2024,VEH004 ,LOC007,LOC003,34699.62
TRIP0390,07/04/2024,VEH007,LOC005,LOC004,27297.59
TRIP0312,02/24/2024,VEH005,LOC005,LOC008,13139.95
TRIP0060,03-Mar-2024,VEH003,LOC004,LOC009,28394.1
TRIP0079,04/04/2024,VEH012,LOC009,LOC001,32436.44
TRIP0329,10-Jan-2024,VEH011,LOC003,LOC004,15085.45
TRIP0287,04/05/2024,VEH007,LOC008,LOC007,18076.49
TRIP0337,01/09/2024,VEH011,LOC008,LOC005,30400.05
TRIP0158,03-Feb-2024,VEH009,LOC004,LOC005,30444.81
TRIP0109,2024-01-05,VEH003,LOC006,LOC009,36591.08
TRIP0017,20-Apr-2024,VEH005,LOC002,LOC007,7233.6
TRIP0375,20/04/2024,VEH008,LOC004,LOC007,10172.42
TRIP0024,2024-04-15,VEH007,LOC001,LOC006,32243.42
TRIP0268,2024-04-28,VEH012,LOC005,LOC008,9042.15
TRIP0148,23-Apr-2024,VEH012,LOC010,LOC004,20361.9
TRIP0248,16/01/2024,VEH012,LOC008,LOC005,18096.44
TRIP0157,02/27/2024, VEH008,LOC003,LOC008,28079.79
TRIP0165,29-Feb-2024,VEH004,LOC007,LOC001,17982.28
TRIP0245,2024-01-20,VEH002,LOC005,LOC003,35370.86
TRIP0277,25-Jan-2024,VEH012,LOC010,LOC009,22658.42
TRIP0119,04/19/2024,VEH004,LOC008,LOC004,26955.81
TRIP0196,16/02/2024,VEH007,LOC008,LOC003,25978.4
TRIP0220,16/04/2024,VEH004,LOC004,LOC005,15533.2
TRIP0227,01/07/2024,VEH002,LOC005,LOC008,24431.93
TRIP0152,04/12/2024,VEH001,LOC009,LOC008,9908.72
TRIP0310,2024-03-10, VEH008,LOC003,LOC002,21725.7
TRIP0036,20/04/2024,VEH011,LOC001,LOC002,9547.25
TRIP0139,03/11/2024,VEH005,LOC001,LOC005,7895.55
TRIP0294,2024-03-29,veh006,LOC007,LOC002,34525.12
TRIP0314,2024-01-31,VEH010,LOC007,LOC006,17823.74
TRIP0198,04/13/2024,VEH008,LOC009,LOC008,11875.21
TRIP0228,15-Apr-2024,VEH008,LOC002,LOC007,27189.13
TRIP0059,03/06/2024,VEH011,LOC004,LOC005,9008.55
TRIP0111,02/16/2024,VEH004,LOC001,LOC006,12082.72
TRIP0356,2024-04-19,VEH009,LOC003,LOC010,31737.32
TRIP0175,26/04/2024,veh002,LOC007,LOC001,6571.87
TRIP0006,2024-04-01,VEH004,LOC009,LOC007,31639.89
TRIP0291,26-Apr-2024,VEH012,LOC008,LOC001,6818.67
TRIP0278,04/22/2024,VEH005,LOC003,LOC002,35625.17
TRIP0150,01/02/2024,VEH002,LOC003,LOC001,33920.22
TRIP0010,14-Jan-2024,VEH002,LOC002,LOC007,17977.93
TRIP0194,23-Mar-2024,VEH007,LOC006,LOC001,10364.95
TRIP0103,2024-03-03, VEH002,LOC005,LOC001,38921.17
TRIP0081,2024-03-02,VEH003,LOC009,LOC010,19223.54
TRIP0208,04/07/2024,VEH011,LOC004,LOC008,9264.14
TRIP0281,02/08/2024,VEH003,LOC010,LOC008,11352.44
TRIP0379,10-Feb-2024,VEH003,LOC005,LOC006,30539.0
TRIP0210,12-Jan-2024,VEH007,LOC005,LOC004,29299.19
TRIP0261,21-Feb-2024, VEH008,LOC009,LOC001,33863.25
TRIP0258,14/02/2024,VEH006,LOC007,LOC006,7329.56
TRIP0167,2024-03-30,VEH008,LOC001,LOC007,33288.8
TRIP0089,01-Apr-2024,VEH005,LOC006,LOC004,22536.57
TRIP0193,24-Feb-2024,VEH009,LOC006,LOC002,34088.94
TRIP0163,03/29/2024,VEH002,LOC003,LOC004,6309.44
TRIP0147,04/18/2024,VEH007,LOC002,LOC008,23223.53
TRIP0231,02/01/2024,VEH007,LOC002,LOC009,19669.0
TRIP0092,20/03/2024, VEH002,LOC010,LOC002,20615.47
TRIP0069,02/29/2024,veh008,LOC004,LOC002,20285.11
TRIP0123,2024-02-05,VEH006,LOC002,LOC005,19553.26
TRIP0096,16/04/2024,VEH010,LOC009,LOC005,17663.44
TRIP0143,2024-03-06,veh002,LOC010,LOC006,25010.48
TRIP0360,23-Jan-2024,veh003,LOC005,LOC001,37593.27
TRIP0097,13-Apr-2024,VEH011 ,LOC009,LOC001,8067.75
TRIP0233,18/02/2024, VEH005,LOC008,LOC010,25861.49
TRIP0068,18/01/2024,veh005,LOC007,LOC003,6078.62
TRIP0023,28-Mar-2024,VEH004,LOC006,LOC001,36259.24
TRIP0037,04/23/2024,VEH011,LOC009,LOC005,21649.67
TRIP0144,2024-04-14,VEH004,LOC004,LOC005,21572.13
TRIP0122,03/25/2024,VEH006,LOC004,LOC007,7955.55
TRIP0202,13/03/2024,VEH006,LOC010,LOC007,22525.94
TRIP0182,01/29/2024,VEH001,LOC002,LOC001,23160.04
TRIP0067,25-Jan-2024,VEH008,LOC004,LOC009,15638.25
TRIP0398,28/02/2024,veh006,LOC006,LOC003,21049.18
TRIP0282,27/02/2024,veh006,LOC009,LOC008,13286.07
TRIP0222,2024-03-31,VEH005,LOC009,LOC003,28200.25
TRIP0320,04/06/2024,VEH011,LOC003,LOC002,37072.18
TRIP0229,10/01/2024,VEH003 ,LOC010,LOC001,8706.41
TRIP0125,2024-04-17,VEH001,LOC009,LOC006,22289.68
TRIP0146,06/01/2024,VEH010,LOC004,LOC008,16604.91
TRIP0238,31/01/2024,VEH002,LOC003,LOC009,5624.29
TRIP0086,2024-03-17,VEH007,LOC001,LOC002,30282.58
TRIP0347,28/03/2024,VEH011,LOC006,LOC009,13868.42
TRIP0322,01/05/2024,VEH012,LOC010,LOC006,16492.64
TRIP0340,2024-01-13,VEH003,LOC004,LOC009,9809.28
TRIP0203,04/01/2024,VEH003,LOC008,LOC006,10036.41
TRIP0262,12/01/2024,VEH006,LOC006,LOC005,15861.71
TRIP0305,23/01/2024,VEH010,LOC002,LOC007,21197.98
TRIP0183,01-Feb-2024,VEH010,LOC004,LOC001,16057.52
TRIP0383,2024-01-08,VEH009 ,LOC010,LOC009,21777.93
TRIP0286,2024-04-19,VEH006,LOC007,LOC001,6723.89
TRIP0289,17/01/2024,VEH002,LOC009,LOC006,8558.52
TRIP0285,31/01/2024,veh004,LOC010,LOC007,19569.18
TRIP0129,2024-03-18,VEH007,LOC009,LOC002,25567.56
TRIP0038,13/02/2024,VEH007,LOC002,LOC005,12941.83
TRIP0011,15-Feb-2024,VEH001,LOC006,LOC005,37436.77
TRIP0355,10-Apr-2024,VEH005,LOC010,LOC001,23292.11
TRIP0185,26-Mar-2024,VEH008,LOC002,LOC004,28158.14
TRIP0225,04/21/2024,VEH008,LOC001,LOC005,37368.3
TRIP0112,28-Mar-2024,VEH006,LOC004,LOC002,15708.48
TRIP0179,13/02/2024,VEH007,LOC007,LOC005,31201.28
TRIP0292,19-Jan-2024,VEH002,LOC007,LOC003,37369.47
TRIP0272,01/12/2024, VEH008,LOC004,LOC002,6868.37
TRIP0349,2024-01-25,veh002,LOC002,LOC008,8326.72
TRIP0117,20-Apr-2024,VEH003,LOC004,LOC005,30181.2
TRIP0391,2024-04-18,VEH001,LOC009,LOC010,9267.26
TRIP0280,2024-02-04,VEH012,LOC001,LOC005,6521.63
TRIP0388,25-Mar-2024,VEH002,LOC008,LOC004,9146.75
TRIP0290,21/04/2024,VEH009,LOC008,LOC002,34171.05
TRIP0366,28-Feb-2024,VEH008,LOC001,LOC010,32101.25
TRIP0164,2024-02-23,veh009,LOC007,LOC006,24419.84
TRIP0284,02/28/2024,VEH012,LOC006,LOC004,24993.14
TRIP0136,30-Mar-2024,veh003,LOC005,LOC009,38549.57
TRIP0154,18/01/2024,VEH009 ,LOC008,LOC009,8800.15
TRIP0199,02/25/2024,VEH006,LOC010,LOC005,15861.33
TRIP0197,23-Jan-2024,VEH010,LOC009,LOC005,35609.67
TRIP0396,04-Apr-2024,VEH012,LOC001,LOC002,33888.98
TRIP0002,04/04/2024,VEH002,LOC002,LOC009,35050.93
TRIP0204,03/03/2024,VEH005,LOC004,LOC006,5487.77
TRIP0115,2024-04-12,VEH001,LOC003,LOC007,34981.5
TRIP0237,2024-01-28,VEH003,LOC005,LOC002,32466.72
TRIP0274,07-Feb-2024, VEH007,LOC009,LOC005,28825.01
TRIP0026,22/04/2024,VEH011,LOC006,LOC004,21335.24
TRIP0120,04/14/2024,VEH005,LOC008,LOC006,25443.43
TRIP0336,27-Apr-2024,VEH011,LOC010,LOC004,8328.35
TRIP0224,2024-03-30,VEH002,LOC003,LOC008,15025.62
TRIP0246,08/01/2024,VEH010,LOC003,LOC005,26108.75
TRIP0357,02-Feb-2024,VEH011,LOC003,LOC002,32973.57
TRIP0318,09/04/2024,VEH004,LOC004,LOC006,15390.68
TRIP0346,2024-02-26,VEH002,LOC004,LOC006,38110.95
TRIP0127,02/03/2024,VEH010,LOC001,LOC002,10058.35
TRIP0074,25-Apr-2024,VEH007,LOC001,LOC003,7040.6
TRIP0325,17/01/2024,VEH009,LOC009,LOC006,27840.56
TRIP0029,12/03/2024,VEH012,LOC009,LOC005,28906.71
TRIP0083,09-Jan-2024,VEH011,LOC010,LOC002,10844.05
TRIP0333,27/03/2024,VEH011,LOC005,LOC007,35125.17
TRIP0107,31/03/2024,VEH001,LOC007,LOC009,14528.45
TRIP0376,23/04/2024,VEH006,LOC004,LOC007,37764.46
TRIP0299,12-Jan-2024,VEH011,LOC007,LOC002,27486.91
TRIP0133,2024-02-25,VEH010,LOC002,LOC006,17140.44
TRIP0244,15-Jan-2024,VEH011,LOC009,LOC004,26210.55
